Code, Routine, Start Time, Stop Time, Description
T, morning, 2018-03-01T08:39:10-05:00, 2018-03-01T08:41:30-05:00, Calendar and Routine Todo List,
EY, morning, , 2018-03-01T10:31:28-05:00, Morning Eye Lubricant, finished earlier
FD, morning, 2018-03-01T11:04:35-05:00, 2018-03-01T11:07:07-05:00, Breakfast and Meds,
B, morning, , 2018-03-02T08:21:20-05:00, Get Out of Bed, finished earlier
T, morning, , 2018-03-02T08:28:24-05:00, Calendar and Routine Todo List, finished earlier
EY, morning, 2018-03-02T08:28:27-05:00, 2018-03-02T08:30:37-05:00, Morning Eye Lubricant,
MB, morning, 2018-03-02T08:30:48-05:00, 2018-03-02T08:44:07-05:00, Make Bed,
FD, morning, 2018-03-02T08:51:49-05:00, 2018-03-02T10:00:33-05:00, Breakfast and Meds,
BT, morning, 2018-03-02T10:17:02-05:00, 2018-03-02T10:29:07-05:00, Brush Teeth,
SH, morning, 2018-03-02T10:29:09-05:00, 2018-03-02T10:41:47-05:00, Shave and Shower,
FT, morning, 2018-03-02T10:41:48-05:00, 2018-03-02T10:59:26-05:00, Fissure Treatment,
CL, morning, 2018-03-02T10:59:26-05:00, 2018-03-02T10:59:29-05:00, Put Clothes On,
EY, morning, 2018-03-02T11:00:55-05:00, 2018-03-02T11:01:53-05:00, Eye Lubricant Again,
T, morning, 2018-03-02T11:04:09-05:00, 2018-03-02T11:05:45-05:00, Update Todo List,
B, morning, , 2018-03-03T09:56:16-05:00, Get Out of Bed, finished earlier
MB, morning, 2018-03-03T12:37:56-05:00, 2018-03-03T12:38:01-05:00, Make Bed, UNFINISHED
B, morning, , 2018-03-04T08:55:41-05:00, Get Out of Bed, finished earlier
T, morning, , 2018-03-04T08:58:33-05:00, Calendar and Routine Todo List, finished earlier
EY, morning, 2018-03-04T08:58:34-05:00, 2018-03-04T08:59:33-05:00, Morning Eye Lubricant,
MB, morning, 2018-03-04T09:01:36-05:00, 2018-03-04T09:04:37-05:00, Make Bed,
EX, morning, 2018-03-04T09:04:45-05:00, 2018-03-04T09:48:19-05:00, Morning Exercises,
FD, morning, 2018-03-04T09:48:22-05:00, 2018-03-04T10:20:10-05:00, Breakfast and Meds,
BT, morning, 2018-03-04T10:20:11-05:00, 2018-03-04T10:36:38-05:00, Brush Teeth,
SH, morning, 2018-03-04T10:36:42-05:00, 2018-03-04T11:06:55-05:00, Shave and Shower,
FT, morning, 2018-03-04T11:06:56-05:00, 2018-03-04T11:23:36-05:00, Fissure Treatment,
CL, morning, 2018-03-04T11:23:37-05:00, 2018-03-04T11:42:36-05:00, Put Clothes On,
EY, morning, 2018-03-04T11:42:38-05:00, 2018-03-04T11:43:31-05:00, Eye Lubricant Again,
T, morning, 2018-03-04T11:43:34-05:00, 2018-03-04T11:45:58-05:00, Update Todo List,
B, morning, , 2018-03-05T09:24:08-05:00, Get Out of Bed, finished earlier
T, morning, 2018-03-05T09:24:13-05:00, 2018-03-05T09:28:11-05:00, Calendar and Routine Todo List,
EY, morning, 2018-03-05T10:13:39-05:00, 2018-03-05T11:46:42-05:00, Morning Eye Lubricant,
MB, morning, 2018-03-05T11:46:44-05:00, 2018-03-05T11:48:20-05:00, Make Bed,
